empresa;lat;long;actividad;todo
YKK EL SALVADOR, S.A. DE C.V. SOCIEDAD EXTRANJERA;;;Accesorios;YKK EL SALVADOR, S.A. DE C.V. SOCIEDAD EXTRANJERA     Accesorios
ZERIGRAPH;;;Accesorios;ZERIGRAPH     Accesorios
ZONAS FRANCAS ACTUALES (ZOFRACSA);;;Accesorios;ZONAS FRANCAS ACTUALES (ZOFRACSA)     Accesorios
3M GUATEMALA;;;Maquinaria y Equipo;3M GUATEMALA     Maquinaria y Equipo
ADRIGUA, S.A.;;;Maquinaria y Equipo;ADRIGUA, S.A.     Maquinaria y Equipo
AGENCIA PROVEEDORA EL PARAISO;;;Maquinaria y Equipo;AGENCIA PROVEEDORA EL PARAISO     Maquinaria y Equipo
AGUJAS INDUSTRIALES DE CENTRO AMÉRICA S.A. (AICASA);;;Maquinaria y Equipo;AGUJAS INDUSTRIALES DE CENTRO AMÉRICA S.A. (AICASA)     Maquinaria y Equipo
AMERICA CENTRAL THREAD;;;Maquinaria y Equipo;AMERICA CENTRAL THREAD     Maquinaria y Equipo
BEST CAJAS;;;Maquinaria y Equipo;BEST CAJAS     Maquinaria y Equipo
BRAIFORM;;;Maquinaria y Equipo;BRAIFORM     Maquinaria y Equipo
CARTONES DE GUATEMALA;;;Maquinaria y Equipo;CARTONES DE GUATEMALA     Maquinaria y Equipo
CENTRAL DE EMPAQUES (CEMSA);;;Maquinaria y Equipo;CENTRAL DE EMPAQUES (CEMSA)     Maquinaria y Equipo
CHROMA INDUSTRIAL, S.A.;;;Maquinaria y Equipo;CHROMA INDUSTRIAL, S.A.     Maquinaria y Equipo
CIMESA;;;Maquinaria y Equipo;CIMESA     Maquinaria y Equipo
COATS - GUATEMALA THREAD COMPANY, S.A.;;;Maquinaria y Equipo;COATS - GUATEMALA THREAD COMPANY, S.A.     Maquinaria y Equipo
COIMPRO;;;Maquinaria y Equipo;COIMPRO     Maquinaria y Equipo
COLORMAX SYSTEMS, S.A.;;;Maquinaria y Equipo;COLORMAX SYSTEMS, S.A.     Maquinaria y Equipo
CORRUGADORA GUATEMALA;;;Maquinaria y Equipo;CORRUGADORA GUATEMALA     Maquinaria y Equipo
CORTADORA QUETZALI;;;Maquinaria y Equipo;CORTADORA QUETZALI     Maquinaria y Equipo
DEAJIN, S.A.;;;Maquinaria y Equipo;DEAJIN, S.A.     Maquinaria y Equipo
DELTAGROUP, S.A.;;;Maquinaria y Equipo;DELTAGROUP, S.A.     Maquinaria y Equipo
DGTECH;;;Maquinaria y Equipo;DGTECH     Maquinaria y Equipo
DIBARSA;;;Maquinaria y Equipo;DIBARSA     Maquinaria y Equipo
DISTRIBUIDORA AMÉRICA COMERCIAL (DACSA);;;Maquinaria y Equipo;DISTRIBUIDORA AMÉRICA COMERCIAL (DACSA)     Maquinaria y Equipo
DISTRIBUIDORA TEXTUFIL;;;Maquinaria y Equipo;DISTRIBUIDORA TEXTUFIL     Maquinaria y Equipo
EMPAQUES Y COMPLEMENTOS, S.A.;;;Maquinaria y Equipo;EMPAQUES Y COMPLEMENTOS, S.A.     Maquinaria y Equipo
EPSON;;;Maquinaria y Equipo;EPSON     Maquinaria y Equipo
EQUIPOS SERIGRÁFICOS Y DIGITALES, S.A.;;;Maquinaria y Equipo;EQUIPOS SERIGRÁFICOS Y DIGITALES, S.A.     Maquinaria y Equipo
ETITEX;;;Maquinaria y Equipo;ETITEX     Maquinaria y Equipo
FREM COLOR, S.A.;;;Maquinaria y Equipo;FREM COLOR, S.A.     Maquinaria y Equipo
GRUPO DIRECTO, S.A.;;;Maquinaria y Equipo;GRUPO DIRECTO, S.A.     Maquinaria y Equipo
GRUPO DISTEXMA;;;Maquinaria y Equipo;GRUPO DISTEXMA     Maquinaria y Equipo
HB MAINETTI TRIM, S.A.;;;Maquinaria y Equipo;HB MAINETTI TRIM, S.A.     Maquinaria y Equipo
HILCOSA GUATEMALA;;;Maquinaria y Equipo;HILCOSA GUATEMALA     Maquinaria y Equipo
HILOS A&E DE GUATEMALA;;;Maquinaria y Equipo;HILOS A&E DE GUATEMALA     Maquinaria y Equipo
HILOS Y ALGODÓN S.A.;;;Maquinaria y Equipo;HILOS Y ALGODÓN S.A.     Maquinaria y Equipo
INDUSTRIAS ILYANG;;;Maquinaria y Equipo;INDUSTRIAS ILYANG     Maquinaria y Equipo
INDUSTRIAS ITALTEX, S.A.;;;Maquinaria y Equipo;INDUSTRIAS ITALTEX, S.A.     Maquinaria y Equipo
INDUSTRIAS METÁLICAS DE CENTROAMÉRICA;;;Maquinaria y Equipo;INDUSTRIAS METÁLICAS DE CENTROAMÉRICA     Maquinaria y Equipo
INDUSTRIAS TECNIFORM, S. A.;;;Maquinaria y Equipo;INDUSTRIAS TECNIFORM, S. A.     Maquinaria y Equipo
INKCUPS NOW CENTRO Y SUR AMÉRICA;;;Maquinaria y Equipo;INKCUPS NOW CENTRO Y SUR AMÉRICA     Maquinaria y Equipo
JC NIEMANN;;;Maquinaria y Equipo;JC NIEMANN     Maquinaria y Equipo
KLIMP AMERICA, S.A.;;;Maquinaria y Equipo;KLIMP AMERICA, S.A.     Maquinaria y Equipo
KOGUA, S.A.;;;Maquinaria y Equipo;KOGUA, S.A.     Maquinaria y Equipo
LAMA MAQUINARIA;;;Maquinaria y Equipo;LAMA MAQUINARIA     Maquinaria y Equipo
MANUCHAR GUATEMALA;;;Maquinaria y Equipo;MANUCHAR GUATEMALA     Maquinaria y Equipo
MAPRIMAQ, S.A.;;;Maquinaria y Equipo;MAPRIMAQ, S.A.     Maquinaria y Equipo
MA-RES;;;Maquinaria y Equipo;MA-RES     Maquinaria y Equipo
MASPARACON, S.A.;;;Maquinaria y Equipo;MASPARACON, S.A.     Maquinaria y Equipo
MEGAPLASTIC, S.A.;;;Maquinaria y Equipo;MEGAPLASTIC, S.A.     Maquinaria y Equipo
METRO CARTONES INT'L;;;Maquinaria y Equipo;METRO CARTONES INT'L     Maquinaria y Equipo
MULTITELAS, S.A;;;Maquinaria y Equipo;MULTITELAS, S.A     Maquinaria y Equipo
NATIVO INTERNACIONAL TRADING, S.A.;;;Maquinaria y Equipo;NATIVO INTERNACIONAL TRADING, S.A.     Maquinaria y Equipo
NEXGEN PACKAGING LIMITADA;;;Maquinaria y Equipo;NEXGEN PACKAGING LIMITADA     Maquinaria y Equipo
NINGBO MH INDUSTRY;;;Maquinaria y Equipo;NINGBO MH INDUSTRY     Maquinaria y Equipo
PACÍFICA CARIBIANA S.A.;;;Maquinaria y Equipo;PACÍFICA CARIBIANA S.A.     Maquinaria y Equipo
PLASTIC UNI, S.A.;;;Maquinaria y Equipo;PLASTIC UNI, S.A.     Maquinaria y Equipo
PLÁSTICOS AGRO INDUSTRIALES, S.A.;;;Maquinaria y Equipo;PLÁSTICOS AGRO INDUSTRIALES, S.A.     Maquinaria y Equipo
PROCHEM;;;Maquinaria y Equipo;PROCHEM     Maquinaria y Equipo
PROQUIRSA;;;Maquinaria y Equipo;PROQUIRSA     Maquinaria y Equipo
QC INTERNACIONAL;;;Maquinaria y Equipo;QC INTERNACIONAL     Maquinaria y Equipo
QUÍMICAS DE MESOAMÉRICA, S.A.;;;Maquinaria y Equipo;QUÍMICAS DE MESOAMÉRICA, S.A.     Maquinaria y Equipo
REDESAL, S.A.;;;Maquinaria y Equipo;REDESAL, S.A.     Maquinaria y Equipo
REPRESENTACIONES LEONARDO DA VINCI;;;Maquinaria y Equipo;REPRESENTACIONES LEONARDO DA VINCI     Maquinaria y Equipo
REPRESENTACIONES TAMUB;;;Maquinaria y Equipo;REPRESENTACIONES TAMUB     Maquinaria y Equipo
RHINESTONE;;;Maquinaria y Equipo;RHINESTONE     Maquinaria y Equipo
S.M. MAQUINARIA;;;Maquinaria y Equipo;S.M. MAQUINARIA     Maquinaria y Equipo
SAYO TRADING, S.A.;;;Maquinaria y Equipo;SAYO TRADING, S.A.     Maquinaria y Equipo
SERTEXMA;;;Maquinaria y Equipo;SERTEXMA     Maquinaria y Equipo
SERVICIOS ARTES GRÁFICAS, S.A.;;;Maquinaria y Equipo;SERVICIOS ARTES GRÁFICAS, S.A.     Maquinaria y Equipo
SINAI REPUESTOS Y MÁQUINAS, S.A.;;;Maquinaria y Equipo;SINAI REPUESTOS Y MÁQUINAS, S.A.     Maquinaria y Equipo
SM GLOBAL;;;Maquinaria y Equipo;SM GLOBAL     Maquinaria y Equipo
SOLUCIONES Y EMPAQUES;;;Maquinaria y Equipo;SOLUCIONES Y EMPAQUES     Maquinaria y Equipo
SUMERLOSA, S. A.;;;Maquinaria y Equipo;SUMERLOSA, S. A.     Maquinaria y Equipo
SUMINISTROS THERMICOS Y SERVICIOS, S.A.;;;Maquinaria y Equipo;SUMINISTROS THERMICOS Y SERVICIOS, S.A.     Maquinaria y Equipo
SUNSTAR;;;Maquinaria y Equipo;SUNSTAR     Maquinaria y Equipo
TELAS LAFAYETTE DE GUATEMALA, S.A.;;;Maquinaria y Equipo;TELAS LAFAYETTE DE GUATEMALA, S.A.     Maquinaria y Equipo
TEXTILES CALO, S.A.;;;Maquinaria y Equipo;TEXTILES CALO, S.A.     Maquinaria y Equipo
TEXTILES YOUM KWANG, S.A.;;;Maquinaria y Equipo;TEXTILES YOUM KWANG, S.A.     Maquinaria y Equipo
THERMOPLASTICA, S.A.;;;Maquinaria y Equipo;THERMOPLASTICA, S.A.     Maquinaria y Equipo
TRIM SOLUTIONS INTERNATIONAL;;;Maquinaria y Equipo;TRIM SOLUTIONS INTERNATIONAL     Maquinaria y Equipo
UNITEX;;;Maquinaria y Equipo;UNITEX     Maquinaria y Equipo
VME;;;Maquinaria y Equipo;VME     Maquinaria y Equipo
